105 4 3
292,0.729,0.75,1,0,0
0.833,0.375,0.898,0.708,1,0,0
0.694,0.417,0.763,0.833,1,0,0
0.361,0.417,0.593,0.583,0,1,0
0.139,0.417,0.068,0.083,0,0,1
0.306,0.583,0.085,0.125,0,0,1
0.222,0.625,0.068,0.042,0,0,1
0.5,0.333,0.508,0.5,0,1,0
0.306,0.583,0.119,0.042,0,0,1
0.361,0.375,0.441,0.5,0,1,0
0.556,0.208,0.661,0.583,0,1,0
0.389,0.333,0.525,0.5,0,1,0
0.556,0.125,0.576,0.5,0,1,0
0.472,0.375,0.593,0.583,0,1,0
0.5,0.417,0.61,0.542,0,1,0
0.389,1.0,0.085,0.125,0,0,1
0.667,0.542,0.797,1.0,1,0,0
0.361,0.333,0.661,0.792,1,0,0
0.083,0.667,0.0,0.042,0,0,1
0.417,0.292,0.695,0.75,1,0,0
0.417,0.292,0.492,0.458,0,1,0
0.667,0.458,0.78,0.958,1,0,0
0.028,0.375,0.068,0.042,0,0,1
0.806,0.667,0.864,1.0,1,0,0
0.167,0.458,0.085,0.0,0,0,1
0.306,0.708,0.085,0.042,0,0,1
0.778,0.417,0.831,0.833,1,0,0
0.611,0.417,0.712,0.792,1,0,0
0.583,0.5,0.729,0.917,1,0,0
0.194,0.667,0.068,0.042,0,0,1
0.694,0.5,0.831,0.917,1,0,0
0.667,0.542,0.797,0.833,1,0,0
0.556,0.208,0.678,0.75,1,0,0
0.528,0.333,0.644,0.708,1,0,0
0.222,0.583,0.085,0.042,0,0,1
0.444,0.417,0.695,0.708,1,0,0
0.194,0.417,0.102,0.042,0,0,1
0.722,0.5,0.797,0.917,1,0,0
0.389,0.75,0.119,0.083,0,0,1
0.75,0.5,0.627,0.542,0,1,0
0.111,0.5,0.102,0.042,0,0,1
0.167,0.208,0.593,0.667,1,0,0
0.583,0.333,0.78,0.833,1,0,0
0.5,0.375,0.627,0.542,0,1,0
0.5,0.25,0.78,0.542,1,0,0
0.361,0.208,0.492,0.417,0,1,0
0.083,0.5,0.068,0.042,0,0,1
0.194,0.625,0.051,0.083,0,0,1
0.583,0.5,0.593,0.583,0,1,0
0.917,0.417,0.949,0.833,1,0,0
0.583,0.375,0.559,0.5,0,1,0
0.944,0.25,1.0,0.917,1,0,0
0.167,0.458,0.085,0.0,0,0,1
0.417,0.333,0.695,0.958,1,0,0
0.417,0.292,0.525,0.375,0,1,0
0.667,0.208,0.814,0.708,1,0,0
0.944,0.333,0.966,0.792,1,0,0
0.417,0.833,0.034,0.042,0,0,1
0.194,0.542,0.068,0.042,0,0,1
0.556,0.542,0.627,0.625,0,1,0
0.222,0.542,0.119,0.167,0,0,1
0.806,0.417,0.814,0.625,1,0,0
0.222,0.75,0.102,0.042,0,0,1
0.222,0.75,0.085,0.083,0,0,1
0.444,0.417,0.542,0.583,0,1,0
0.306,0.792,0.119,0.125,0,0,1
0.25,0.292,0.492,0.542,0,1,0
0.639,0.375,0.61,0.5,0,1,0
0.028,0.5,0.051,0.042,0,0,1
0.333,0.167,0.475,0.417,0,1,0
0.361,0.417,0.525,0.5,0,1,0
0.556,0.292,0.661,0.708,1,0,0
0.472,0.583,0.593,0.625,0,1,0
0.472,0.292,0.695,0.625,0,1,0
0.361,0.292,0.542,0.5,0,1,0
0.444,0.5,0.644,0.708,0,1,0
0.611,0.333,0.61,0.583,0,1,0
0.083,0.458,0.085,0.042,0,0,1
0.139,0.583,0.102,0.042,0,0,1
0.528,0.583,0.746,0.917,1,0,0
0.194,0.0,0.424,0.375,0,1,0
0.528,0.375,0.559,0.5,0,1,0
0.222,0.708,0.085,0.125,0,0,1
0.944,0.75,0.966,0.875,1,0,0
0.222,0.75,0.153,0.125,0,0,1
0.083,0.583,0.068,0.083,0,0,1
0.722,0.458,0.746,0.833,1,0,0
0.722,0.458,0.661,0.583,0,1,0
0.194,0.583,0.102,0.125,0,0,1
0.861,0.333,0.864,0.75,1,0,0
0.25,0.875,0.085,0.0,0,0,1
0.944,0.417,0.864,0.917,1,0,0
0.417,0.25,0.508,0.458,0,1,0
0.667,0.417,0.678,0.667,0,1,0
0.333,0.917,0.068,0.042,0,0,1
0.167,0.167,0.39,0.375,0,1,0
0.417,0.292,0.695,0.75,1,0,0
0.556,0.583,0.78,0.958,1,0,0
0.389,0.333,0.593,0.5,0,1,0
0.333,0.25,0.576,0.458,0,1,0
0.333,0.625,0.051,0.042,0,0,1
0.528,0.083,0.593,0.583,0,1,0
0.25,0.625,0.085,0.042,0,0,1
0.5,0.333,0.627,0.458,0,1,0
0.806,0.5,0.847,0.708,1,0,0
